,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,timeOnIcePerGame
511,17,4,17,0.47826,1,30,7,Barzal,1,18,8478445,4,24,0.8,C,3,7,0,0,0.08974,R,78,Mathew Barzal,1160.4333
512,18,5,19,0.52877,1,39,6,Seguin,0,14,8475794,4,24,0.61538,C,1,4,0,1,0.05084,R,118,Tyler Seguin,1161.1282
513,22,0,8,,0,37,2,Krug,0,32,8476792,-2,24,0.64864,D,2,16,0,0,0.02298,L,87,Torey Krug,1351.6216
514,14,7,14,0.16666,3,30,9,Eberle,1,12,8474586,6,23,0.76666,R,2,9,0,0,0.11538,R,78,Jordan Eberle,1096.6666
515,9,11,18,0.5021,5,30,13,Nelson,0,14,8475754,2,22,0.73333,C,2,3,0,1,0.16455,L,79,Brock Nelson,1143.8666
516,12,7,12,,3,27,10,Hedman,1,34,8475167,11,22,0.81481,D,3,10,0,0,0.11363,L,88,Victor Hedman,1573.4074
517,9,9,14,0.49635,1,37,12,Coyle,1,14,8475745,4,21,0.56756,C,3,6,0,1,0.17142,R,70,Charlie Coyle,993.6486
518,14,5,10,0.50628,0,38,7,Hintz,0,12,8478449,-4,21,0.55263,L,2,10,0,1,0.08974,L,78,Roope Hintz,872.2105
519,16,5,14,0.51028,1,26,5,Landeskog,1,22,8476455,5,21,0.80769,L,0,7,0,0,0.06756,L,74,Gabriel Landeskog,1280.8076
520,16,3,15,,3,25,5,Makar,0,0,8480069,15,21,0.84,D,2,6,0,0,0.1,R,50,Cale Makar,1269.2
521,6,10,14,0.46666,1,20,14,Couture,0,6,8474053,3,20,1.0,C,3,5,1,1,0.20895,L,67,Logan Couture,1208.55
522,10,4,12,0.52845,5,17,10,Kadri,0,29,8475172,4,20,1.17647,C,6,8,0,0,0.16949,L,59,Nazem Kadri,1086.3529
523,14,4,12,0.2,1,27,6,Smith,1,8,8475191,3,20,0.74074,R,2,7,0,1,0.08219,L,73,Reilly Smith,1082.9259
